group,names,scores,logfoldchanges,pvals,pvals_adj
0,ENSG00000227507,36.436867,,2.0407169630008385e-236,2.1203049245578713e-233
0,ENSG00000008517,31.635183,,1.9489605343042e-185,5.785628557548754e-183
0,ENSG00000169567,20.19765,,9.190856050959702e-84,8.303738640823593e-82
0,ENSG00000116824,20.065702,,2.343013744226034e-81,1.872608677116038e-79
0,ENSG00000179144,19.96116,,1.770507113758155e-81,1.4716455129557785e-79
0,ENSG00000172005,18.56471,,3.360765897668311e-68,1.9953347243870714e-66
0,ENSG00000165272,17.892525,,8.068748927945003e-65,4.5315838573701936e-63
0,ENSG00000196329,17.004526,,2.922392970372473e-60,1.4811542908375607e-58
0,ENSG00000100650,15.106294,,2.6468238344842725e-49,1.122469373073126e-47
0,ENSG00000009790,15.053364,,9.700958843772763e-49,3.952665191639177e-47
0,ENSG00000082074,14.824888,,3.292280289925556e-47,1.2669182300861677e-45
0,ENSG00000157978,14.342145,,1.1704594765963767e-43,3.92292708446334e-42
0,ENSG00000072818,13.941351,,3.193915845010305e-42,1.0370245509267835e-40
0,ENSG00000213402,13.787002,,8.505111862333694e-42,2.719018838450679e-40
0,ENSG00000133574,13.615585,,1.740173665031168e-40,5.165829822763953e-39
0,ENSG00000186854,12.805466,,1.4203245906751371e-35,3.689293124278669e-34
0,ENSG00000078596,12.556761,,1.580606371984057e-34,3.9101190964081795e-33
0,ENSG00000188404,12.32237,,8.671104356278296e-34,2.1198299826289763e-32
0,ENSG00000115687,10.613539,,2.4084363940192866e-25,5.213261277887581e-24
0,ENSG00000186827,10.3997,,2.1157220163265912e-24,4.4861942346190375e-23
0,ENSG00000182809,9.936477,,1.6308019084320298e-22,3.1969871374733565e-21
0,ENSG00000161055,9.4915285,,1.0126870754086062e-20,1.8622687988487466e-19
0,ENSG00000114737,9.017856,,5.41123379924576e-19,9.449196499859402e-18
0,ENSG00000184203,8.698846,,6.6626116026422685e-18,1.134828435269724e-16
0,ENSG00000117091,8.68219,,7.280502470947795e-18,1.2299905800511804e-16
0,ENSG00000245954,8.672112,,1.240091100948412e-17,2.0714020477720698e-16
0,ENSG00000169508,8.492903,,4.111899831128004e-17,6.623664999289917e-16
0,ENSG00000166295,8.47733,,4.0851831732593835e-17,6.623664999289917e-16
0,ENSG00000267100,8.429469,,6.755205453619739e-17,1.047560965121031e-15
0,ENSG00000146278,8.222876,,3.314055562094281e-16,4.95439385469922e-15
0,ENSG00000164543,8.138511,,6.612320356603354e-16,9.676339226071669e-15
0,ENSG00000140511,8.126238,,1.0605072222262951e-15,1.5303708387404453e-14
0,ENSG00000171130,8.095353,,1.093981191299342e-15,1.5677882176000225e-14
0,ENSG00000163600,8.066157,,1.6500534332567496e-15,2.3012154592667956e-14
0,ENSG00000166405,8.058936,,1.4131977311230494e-15,1.9977040035875485e-14
0,ENSG00000153283,8.039358,,1.5879754298078353e-15,2.22960333995992e-14
0,ENSG00000122034,7.9316382,,3.360472946643542e-15,4.624544889486941e-14
0,ENSG00000110944,7.8950667,,5.844507257370881e-15,7.735596229819549e-14
0,ENSG00000215788,7.8505445,,7.669553844434293e-15,1.0086919549831937e-13
0,ENSG00000131508,7.8195415,,8.104135884818525e-15,1.0591442999152764e-13
0,ENSG00000162777,7.7388186,,1.604927901615537e-14,2.0212364724588396e-13
0,ENSG00000205531,7.698924,,2.2240388453310978e-14,2.7840679039747115e-13
0,ENSG00000198821,7.6527257,,2.88806945935468e-14,3.5302401979641325e-13
0,ENSG00000109332,7.6363378,,3.2614786672602797e-14,3.9633641348344217e-13
0,ENSG00000172340,7.6146913,,4.181656072709554e-14,4.993954781086467e-13
0,ENSG00000089012,7.5694904,,6.272341370184233e-14,7.405639413206158e-13
0,ENSG00000089280,7.557929,,6.132828670308048e-14,7.282295986800071e-13
0,ENSG00000172725,7.492882,,1.0424616308664192e-13,1.2101873010840329e-12
0,ENSG00000144746,7.116857,,1.4848490551779918e-12,1.6769110525325366e-11
0,ENSG00000143742,7.1082497,,1.5941987382475739e-12,1.7906729611234908e-11
